customernumber, customername, starttime, endtime, beginfootprint, afterfootprint, deltaptcount, %EGMchange, preUtilization, adjpreUtilization, postUtilization, adjpostUtilization, preTheoWin, preTheoWPUPD, adjpreTheoWPUPD, postTheoWin, postTheoWPUPD, adjpostTheoWPUPD, preActualWPUPD, adjpreActualWPUPD, postActualWPUPD, adjpostActualWPUPD, %TheoWchange, adj%TheoWchange, %ActualWchange, adj%ActualWchange, DFtheo, adjDFtheo, DFactual, adjDFactual
CHIC004, Chickasaw Nation - Winstar Casino, 2015-3, 2015-3, 803, 824, 21, 0.026151930261519303, 0.24083333333333334, 0.2992162895470647, 0.25159722222222225, 0.31362111673250476, 54024134.06553, 371.0066549842393, 354.757825842324, 60306969.699, 401.62342132287324, 383.92485465170023, 369.81753940184734, 355.6291060443636, 400.82992174909094, 381.89403978562575, 0.08252349635058324, 0.08221673120282297, 0.08385860334640657, 0.07385484847796932, 3.155541312834207, 3.143811197898421, 3.2065932612935466, 2.824068729895684
CHIC006, Chickasaw Nation - Gold Mountain, 2015-1, 2015-1, 39, 41, 2, 0.05128205128205128, 0.2652777777777778, 0.4321486960357911, 0.25743055555555555, 0.3214907965888844, 2859792.051314, 397.9671655043139, 408.5778355314501, 3114107.6441059997, 419.63450264196194, 404.53142568265736, 403.3008460896187, 411.7837148409407, 406.6767282037461, 387.7475597007142, 0.05444503721856206, -0.009903645026484224, 0.008370629883025974, -0.05837082495967804, 1.0616782257619601, -0.19312107801644238, 0.1632272827190065, -1.1382310867137218
CHIC007, Chickasaw Nation - Treasure Valley, 2015-4, 2015-4, 61, 69, 8, 0.13114754098360656, 0.1326388888888889, 0.17253091783951302, 0.12083333333333333, 0.17326854491898058, 2272284.118359, 201.80143147060392, 195.26694726811724, 2345541.8453669995, 182.94531201676932, 180.2281062520864, 202.73487921847246, 193.2630169215808, 190.09217455736683, 188.9914667442477, -0.09343897769417624, -0.07701682863603787, -0.06236077733561334, -0.02210226377179209, -0.7124722049180938, -0.5872533183497888, -0.4755009271840517, -0.16852976125991467
CHIC008, Chickasaw Nation - Texoma, 2014-11, 2014-11, 87, 88, 1, 0.011494252873563218, 0.1351388888888889, 0.18294161548883825, 0.13444444444444445, 0.14994276056897993, 3160601.569986, 197.32793719085973, 190.58453704538925, 3178588.5456359996, 198.33948244327965, 184.95086688400102, 205.7481145033402, 196.73199314322287, 197.76781292899037, 185.68620851672281, 0.005126214092237398, -0.029559954069340547, -0.03878675434578657, -0.056146356523001366, 0.4459806260246536, -2.5717160040326275, -3.374447628083432, -4.8847330175011185
CHIC012, Chickasaw Nation - Madill Gaming Ctr, 2015-3, 2015-3, 18, 24, 6, 0.3333333333333333, 0.19451388888888888, 0.2913265600105103, 0.18138888888888888, 0.27030587027840697, 842113.7024310001, 258.000521578125, 259.5657999577206, 1040931.830661, 235.77164907383917, 236.86929404009064, 243.8798897058824, 253.20268170670957, 223.43322083805214, 222.45618326387316, -0.08615824637995831, -0.08744027880917637, -0.08383909346723425, -0.12143038231502927, -0.25847473913987495, -0.2623208364275291, -0.2515172804017028, -0.36429114694508785
CHIC014, Chickasaw Nation - Black Gold Casino, 2014-12, 2014-12, 30, 36, 6, 0.2, 0.12055555555555555, 0.19375807114517818, 0.11395833333333333, 0.14030590716832472, 1051631.355779, 188.97239097556155, 192.3740086666667, 1207426.600993, 185.27337747322386, 177.94028034402334, 216.40511051212937, 218.6679440427673, 143.69180604572657, 142.927731133497, -0.01957435942489641, -0.07502951372008469, -0.3360054866279476, -0.34637090150926264, -0.09787179712448205, -0.3751475686004234, -1.680027433139738, -1.7318545075463132
CHIC015, Chickasaw Nation - Border Casino, 2014-9, 2014-9, 123, 163, 40, 0.3252032520325203, 0.3059722222222222, 0.3691528663604334, 0.2617361111111111, 0.3162203779984769, 9848637.06133, 430.5979827444036, 408.7956915717909, 11635660.826, 391.89184688962985, 372.8063139971709, 433.02450594613504, 411.3559389681707, 400.69401131656053, 381.61856328584423, -0.08988926424615683, -0.08803756574890345, -0.07466204380034827, -0.07229110574389305, -0.27640948755693223, -0.27071551467787813, -0.22958578468607094, -0.22229515016247114
CHIC015, Chickasaw Nation - Border Casino, 2015-7, 2015-7, 163, 173, 10, 0.06134969325153374, 0.27145833333333336, 0.2990312227783887, 0.2709722222222222, 0.38684769419578985, 12227712.21939, 413.7273632004737, 386.06861805718154, 13305549.997609999, 417.9141276967774, 414.99695431528363, 422.0522662832008, 392.61569839215025, 414.54409322193607, 411.1359467535649, 0.010119621926662414, 0.07493055613708921, -0.017789675973986372, 0.04717144127771568, 0.16494983740459734, 1.2213680650345542, -0.28997171837597785, 0.7688944928267656
CHIC018, Chickasaw Nation - Washita Gaming Center, 2015-4, 2015-4, 51, 62, 11, 0.21568627450980393, 0.15875, 0.21738659351799852, 0.1254861111111111, 0.19099706445336848, 2456444.032022, 262.7774959373128, 257.47164068763374, 2314882.791489, 202.91749574763324, 203.63792314586257, 268.9573898160034, 267.09036139559265, 189.34927156381488, 190.80414876113255, -0.22779728521334078, -0.20908600806673922, -0.2959878451625712, -0.28561948935877596, -1.0561510496254891, -0.9693987646730636, -1.3723072821173756, -1.3242358142997794
CHIC020, Chickasaw Nation - Tishomingo Gaming Center, 2015-12, 2015-12, 15, 17, 2, 0.13333333333333333, 0.170625, 0.283201945644374, 0.15916666666666668, 0.2029324159987739, 408870.3173466, 148.14141932847826, 151.63391720909422, 467130.1894787, 145.20677322931303, 139.97820158725523, 134.94542391304347, 138.7807061885507, 147.6142399751321, 141.9096949705937, -0.019809760919450616, -0.07686747026238497, 0.09388103497494074, 0.022546280877054178, -0.1485732068958796, -0.5765060269678872, 0.7041077623120555, 0.16909710657790633
CHIC020, Chickasaw Nation - Tishomingo Gaming Center, 2016-3, 2016-3, 17, 18, 1, 0.058823529411764705, 0.17319444444444446, 0.26807464572070777, 0.15680555555555556, 0.23288393223010695, 437455.0961005, 150.95068878554176, 152.45487535027607, 483940.77857369994, 146.91584048989068, 147.3018838510322, 143.889292615597, 147.3977006547274, 142.86380085003034, 138.1288725599575, -0.026729578567100492, -0.033800109621975105, -0.007126949802347439, -0.06288312540561078, -0.4544028356407084, -0.5746018635735768, -0.12115814663990647, -1.0690131318953833
CHIC021, Chickasaw Nation - Salt Creek Casino, 2015-12, 2015-12, 65, 73, 8, 0.12307692307692308, 0.16319444444444445, 0.2345358216438396, 0.143125, 0.16212088154396276, 2746028.647324, 230.85570805582176, 228.5256056909626, 2809533.1637999997, 212.18436400573972, 199.701919394079, 235.27000336275745, 236.15650889541826, 204.9564700551318, 191.84784878747828, -0.08087884942211279, -0.12612891325562073, -0.1288457214024259, -0.18762413246700743, -0.6571406515546664, -1.0247974202019183, -1.0468714863947104, -1.5244460762944354
