customernumber,customername,denom,paytableseries,year,month,beginfootprint,deltaptcount,trainset,gamesPlayed,ActualWin,TheoWin,MachineDays,GamesPlayedAdj,ActualWinAdj,TheoWinAdj
7CLA002,7 Clans - Chilocco,$1.00,M1,2015,7,17,0,CTRL,551586,29119,45454.3515399,510,644831.007149,28026.8233411,43191.904461
7CLA002,7 Clans - Chilocco,$1.00,M4,2015,7,20,0,CTRL,1068651,105934,86465.093872,592,1253484.1891,100257.066297,82174.3130527
7CLA002,7 Clans - Chilocco,$1.00,M1,2015,8,17,1,TRMT,505183,42432,41414.3292082,470,619280.064523,43656.5333923,38882.3090239
7CLA002,7 Clans - Chilocco,$1.00,M37WAP,2015,8,2,0,CTRL,66935,962.62,7133.72960917,38,69035.2996927,2587.7197455,6382.84965174
7CLA002,7 Clans - Chilocco,$1.00,M38WAP,2015,8,4,0,CTRL,210452,9393.53,23066.458847,76,258282.297202,7950.85366322,22144.1272448
7CLA002,7 Clans - Chilocco,$1.00,M4,2015,8,20,5,TRMT,1141867,96126,90739.5074389,655,1475766.66931,97404.7019071,86645.2405634
7CLA002,7 Clans - Chilocco,$1.00,M1,2015,9,18,0,TRAIN,473935,26400,38815.6281512,431,629829.872618,20681.7345863,37567.0638605
7CLA002,7 Clans - Chilocco,$1.00,M37WAP,2015,9,2,0,CTRL,93558,11423.4,10135.4757778,60,130270.606174,10999.4090591,9891.04621954
7CLA002,7 Clans - Chilocco,$1.00,M38WAP,2015,9,4,0,CTRL,328729,18129.71,37586.5482653,120,486434.99763,14681.4022426,37518.092253
7CLA002,7 Clans - Chilocco,$1.00,M4,2015,9,25,0,TRAIN,1042891,83446,82616.8369383,672,1422947.56989,81288.597733,80235.9532284
7CLA002,7 Clans - Chilocco,$1.00,M1,2015,10,18,0,CTRL,464710,43150,38607.9104557,439,584947.311448,41779.4295196,36205.003165
7CLA002,7 Clans - Chilocco,$1.00,M38WAP,2015,10,4,0,CTRL,341308,36306.15,39199.7203615,124,474389.297775,34845.7876337,38022.4378981
7CLA002,7 Clans - Chilocco,$1.00,M37WAP,2015,10,2,0,CTRL,82089,13511.24,8732.10038398,62,109728.839789,10625.1113645,8353.02982199
7CLA002,7 Clans - Chilocco,$1.00,M4,2015,10,25,0,CTRL,1061660,106449,83820.4884845,693,1370830.11239,102638.144937,79357.114353
7CLA002,7 Clans - Chilocco,$1.00,M1,2015,11,18,0,CTRL,455078,22809,37432.8000664,423,719053.767757,22916.3920494,38005.8862088
