customernumber,customername,year,month,beginfootprint,deltaptcount,trainset,GamesPlayed,ActualWin,TheoWin,MachineDays,AdjGamesPlayed,AdjActualWin,AdjTheoWin,AdjMachineDays,PriorUtil,PriorWPUPD,PriorTheoWPUPD,PostUtil,PostWPUPD,PostTheoWPUPD,PriorAdjUtil,PriorAdjWPUPD,PriorAdjTheoWPUPD,PostAdjUtil,PostAdjWPUPD,PostAdjTheoWPUPD
CONF002,Gray Wolf Peaks Casino,2013,8,10,0,CTRL,524386,44773.6,36597.574277,322,365085.568367,30386.2594389,24837.4798277,0,0.110882034632,72.4365800866,103.794961303,0.103791262136,124.053252427,99.9165466721,0.144909493461,84.066686415,120.459834698,0.108315876933,124.48323244,101.061025727
CONF002,Gray Wolf Peaks Casino,2013,9,10,1,TRMT,531390,38280.05,36567.6700886,350,789211.29128,48876.9839456,46690.5718214,0,0.112168977296,111.22323689,109.537450882,0.104350096234,134.592088015,96.9898096453,0.106378404086,90.064491864,95.2327335317,0.0979157520726,126.280574467,95.4857263119
CONF002,Gray Wolf Peaks Casino,2013,10,11,0,TRAIN,483656,44721.2,29748.7987067,358,591537.142315,48954.4860289,32564.8048501,0,0.109558724006,110.505537099,107.576833252,0.104817288179,110.104657534,93.2957879799,0.125840085417,109.283109575,110.026880913,0.126005376044,92.7700912101,83.6303749293
CONF002,Gray Wolf Peaks Casino,2013,11,11,0,CTRL,589775,60743.1,37268.6479059,360,393751.43076,37036.1835563,22723.3790297,0,0.105090206186,114.597700238,100.627025482,0.105713094511,71.5445921173,99.1695816238,0.122690376961,117.079408386,104.614653699,0.0767639937748,49.5988333458,76.0889469129
CONF002,Gray Wolf Peaks Casino,2013,12,11,0,CTRL,579328,15100.3,35141.4412254,377,691423.60566,15592.5802898,36287.0766678,0,0.1063752498,135.62442446,100.850856819,0.0998993549236,30.8627962085,92.8124782476,0.106893756631,118.887707172,91.2347018193,0.0878096695622,24.5159949869,71.8921926452
CONF002,Gray Wolf Peaks Casino,2014,1,11,0,CTRL,491692,2211.75,35783.9244202,354,372890.053561,1483.56333422,24002.5853845,0,0.104966791619,109.927093426,96.0045383575,0.104544835491,65.5255339806,97.5631560858,0.118508432815,104.124729288,95.6856971411,0.120874014785,63.8692213862,79.034988007
CONF002,Gray Wolf Peaks Casino,2014,2,11,0,CTRL,446651,15248.2,26991.7989056,324,305868.322173,8788.23108714,15556.6011883,0,0.102774470899,84.7317805383,95.1986281975,0.114835821304,106.761122047,99.3721684556,0.0982287704306,71.1296157414,79.7638688282,0.129001300984,108.190777193,94.1925417751
CONF002,Gray Wolf Peaks Casino,2014,3,11,0,CTRL,612266,50031.35,37714.3274426,352,820994.14514,55513.5036065,41846.8510743,0,0.103427856302,65.9387632509,95.5376766481,0.126061440905,129.556515444,112.357864473,0.0865691702078,44.4526913551,69.6605245727,0.115749964576,120.695447821,101.240808036
CONF002,Gray Wolf Peaks Casino,2014,4,11,0,CTRL,621177,43189.75,36255.9968028,340,796448.823488,45620.094934,38296.1701809,0,0.10512600687,58.7004975124,96.3976488939,0.120878623188,127.648405797,105.570085965,0.108148549245,57.8378666081,83.6482688806,0.163871968346,120.265481631,94.7772616476
CONF002,Gray Wolf Peaks Casino,2014,5,11,0,CTRL,647192,40999.45,42432.4233486,344,462194.414498,23906.8854016,24742.4558697,0,0.110086476075,80.7890875912,99.8146332636,0.113567206424,123.977345972,97.6441228571,0.116393012184,81.3178050816,87.373874327,0.112831415951,111.230862444,82.8289317294
